0.364830354 1.5 
0.377216145 1.6 
0.39698293 1.7 
0.418760469 1.8 
0.445037828 2.4 
0.467945718 2.9 
0.485201359 3.3 
0.508130081 3.8 
0.516262261 3.9
0.522739153 4.5 
0.529100529 5.3 
0.533333333 5.6 
0.539083558 6.4 
0.54377379 7.8 
0.550055006 9.3 
0.556792873 12.3 
0.563697858 18.3 
0.571755289 19.3 
0.578703704 15.3 
0.585137507 11.8 
0.585480094 11.3 
0.591366056 9.8 
0.596658711 7.8 
0.603136309 6.8 
0.610128127 5.5 
0.617665225 4.7 
0.62150404 3.8 
0.62774639 3.6 
0.636942675 3.3 
0.640204866 2.8 
0.652741514 2.3 
0.661375661 2 
0.666222518 1.9 
0.685871056 1.8 
0.708215297 1.3 
0.728332119 1.1 
0.749625187 1 
0.769230769 0.8 
0.790513834 0.7 
0.804505229 0.5 
0.803858521 0.4 
